     92 [2022-05-30 17:05:07]  81Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		62530	 53  		DNS请求 Host Address  查询natcm.iggwebcache.com的地址
     98 [2022-05-30 17:05:07]  81Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		57762	 53  		DNS请求 null  查询natcm.iggwebcache.com的地址
    104 [2022-05-30 17:05:07]  77Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		1.0.0.1 		57763	 53  		DNS请求 Host Address  查询public.dns.iij.jp的地址
    106 [2022-05-30 17:05:07]  77Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		223.5.5.5 		57764	 53  		DNS请求 Host Address  查询public.dns.iij.jp的地址
    113 [2022-05-30 17:05:07]  128Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 62530  		DNS响应 CNAME 域名natcm.iggwebcache.com的CNAME是natcm.jomodns.xyz
    113 [2022-05-30 17:05:07]  128Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 62530  		DNS响应 Host Address  域名natcm.jomodns.xyz的IP地址是183.232.56.219
    114 [2022-05-30 17:05:07]  112Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 57762  		DNS响应 CNAME 域名natcm.iggwebcache.com的CNAME是natcm.jomodns.xyz
    119 [2022-05-30 17:05:07]  109Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				223.5.5.5		192.168.43.233 		   53	 57764  		DNS响应 Host Address  域名public.dns.iij.jp的IP地址是103.2.57.5
    119 [2022-05-30 17:05:07]  109Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				223.5.5.5		192.168.43.233 		   53	 57764  		DNS响应 Host Address  域名public.dns.iij.jp的IP地址是103.2.57.6
    142 [2022-05-30 17:05:07]  84Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		57650	 53  		DNS请求 Host Address  查询www.google-analytics.com的地址
    151 [2022-05-30 17:05:07]  84Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		52568	 53  		DNS请求 null  查询www.google-analytics.com的地址
    156 [2022-05-30 17:05:07]  131Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 52568  		DNS响应 CNAME 域名www.google-analytics.com的CNAME是www-google-analytics.l.google.com
    172 [2022-05-30 17:05:07]  144Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 57650  		DNS响应 CNAME 域名www.google-analytics.com的CNAME是www-google-analytics.l.google.com
    172 [2022-05-30 17:05:07]  144Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 57650  		DNS响应 Host Address  域名www-google-analytics.l.google.com的IP地址是220.181.174.225
